#Date,news positivity,news negativity,stock change
2010-11-23,8.2143277216,10.7260466296,-2
2010-11-24,11.2815041094,11.755705845,2
2010-11-26,14.9704548776,15.6113935804,-1
2010-11-29,9.1315389693,19.7362533353,-1
2010-11-30,12.3352656171,21.7478232656,-1
2010-12-01,9.0952855593,12.0604045839,2
2010-12-02,10.7687794817,12.5338535014,1
2010-12-03,12.2242000933,13.051764796,1
2010-12-06,14.502716284,17.023850835,-1
2010-12-07,11.7524682211,18.755295451,0
2010-12-08,11.5717310678,10.9811164335,1
2010-12-09,14.8069156509,14.5366397119,0
2010-12-10,9.066334707,13.418193816,1
2010-12-13,11.2862956576,13.0313392703,1
2010-12-14,8.0138127107,11.4339169462,1
2010-12-15,9.2198752608,11.4447615736,-1
2010-12-16,9.7369331336,14.71648072,1
2010-12-17,9.1543333003,13.3388833437,0
2010-12-20,10.4420545738,11.3641984383,0
